#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 08 23 11 22 00 2 5658.966
2022 08 23 11 21 00 2 5658.964
2022 08 23 11 20 00 2 5658.961
2022 08 23 11 19 00 2 5658.959
2022 08 23 11 18 00 2 5658.957
2022 08 23 11 17 00 2 5658.954
2022 08 23 11 16 00 2 5658.952
2022 08 23 11 15 00 2 5658.949
2022 08 23 11 15 00 1 5658.948
2022 08 23 11 14 00 2 5658.947
2022 08 23 11 13 00 2 5658.944
2022 08 23 11 12 00 2 5658.941
2022 08 23 11 11 00 2 5658.937
2022 08 23 11 10 00 2 5658.934
2022 08 23 11 09 00 2 5658.928
2022 08 23 11 08 00 2 5658.924
2022 08 23 11 07 00 2 5658.925
2022 08 23 11 06 00 2 5658.920
2022 08 23 11 05 00 2 5658.915
2022 08 23 11 04 00 2 5658.916
2022 08 23 11 03 00 2 5658.910
2022 08 23 11 02 00 2 5658.907
2022 08 23 11 01 00 2 5658.908
2022 08 23 11 00 00 2 5658.905
2022 08 23 11 00 00 1 5658.904
2022 08 23 10 45 00 1 5658.862
2022 08 23 10 30 00 1 5658.815
2022 08 23 10 15 00 1 5658.766
2022 08 23 10 00 00 1 5658.714
2022 08 23 09 45 00 1 5658.667
2022 08 23 09 30 00 1 5658.619
2022 08 23 09 15 00 1 5658.572
2022 08 23 09 00 00 1 5658.528
2022 08 23 08 45 00 1 5658.486
2022 08 23 08 30 00 1 5658.447
2022 08 23 08 15 00 1 5658.413
2022 08 23 08 00 00 1 5658.381
2022 08 23 07 45 00 1 5658.355
2022 08 23 07 30 00 1 5658.335
2022 08 23 07 15 00 1 5658.320
2022 08 23 07 00 00 1 5658.311
2022 08 23 06 45 00 1 5658.311
2022 08 23 06 30 00 1 5658.315
2022 08 23 06 15 00 1 5658.328
2022 08 23 06 00 00 1 5658.342
2022 08 23 05 45 00 1 5658.367
2022 08 23 05 30 00 1 5658.395
2022 08 23 05 15 00 1 5658.429
2022 08 23 05 00 00 1 5658.467
2022 08 23 04 45 00 1 5658.510
2022 08 23 04 30 00 1 5658.558
2022 08 23 04 15 00 1 5658.609
2022 08 23 04 00 00 1 5658.664
2022 08 23 03 45 00 1 5658.720
2022 08 23 03 30 00 1 5658.779
2022 08 23 03 15 00 1 5658.838
2022 08 23 03 00 00 1 5658.899
2022 08 23 02 45 00 1 5658.961
2022 08 23 02 30 00 1 5659.020
2022 08 23 02 15 00 1 5659.079
2022 08 23 02 00 00 1 5659.132
2022 08 23 01 45 00 1 5659.182
2022 08 23 01 30 00 1 5659.227
2022 08 23 01 15 00 1 5659.267
2022 08 23 01 00 00 1 5659.302
2022 08 23 00 45 00 1 5659.334
2022 08 23 00 30 00 1 5659.362
2022 08 23 00 15 00 1 5659.384
2022 08 23 00 00 00 1 5659.400
2022 08 22 23 45 00 1 5659.412
2022 08 22 23 30 00 1 5659.421
2022 08 22 23 15 00 1 5659.421
2022 08 22 23 00 00 1 5659.419
2022 08 22 22 45 00 1 5659.413
2022 08 22 22 30 00 1 5659.402
2022 08 22 22 15 00 1 5659.386
2022 08 22 22 00 00 1 5659.367
2022 08 22 21 45 00 1 5659.346
2022 08 22 21 30 00 1 5659.323
2022 08 22 21 15 00 1 5659.297
2022 08 22 21 00 00 1 5659.272
2022 08 22 20 45 00 1 5659.246
2022 08 22 20 30 00 1 5659.218
2022 08 22 20 15 00 1 5659.189
2022 08 22 20 00 00 1 5659.160
2022 08 22 19 45 00 1 5659.132
2022 08 22 19 30 00 1 5659.107
2022 08 22 19 15 00 1 5659.083
2022 08 22 19 00 00 1 5659.060
2022 08 22 18 45 00 1 5659.038
2022 08 22 18 30 00 1 5659.022
2022 08 22 18 15 00 1 5659.007
2022 08 22 18 00 00 1 5658.996
2022 08 22 17 45 00 1 5658.984
2022 08 22 17 30 00 1 5658.976
2022 08 22 17 15 00 1 5658.969
2022 08 22 17 00 00 1 5658.963
2022 08 22 16 45 00 1 5658.961
2022 08 22 16 30 00 1 5658.959
2022 08 22 16 15 00 1 5658.960
2022 08 22 16 00 00 1 5658.961
2022 08 22 15 45 00 1 5658.963
2022 08 22 15 30 00 1 5658.964
2022 08 22 15 15 00 1 5658.968
2022 08 22 15 00 00 1 5658.972
2022 08 22 14 45 00 1 5658.976
2022 08 22 14 30 00 1 5658.980
2022 08 22 14 15 00 1 5658.985
2022 08 22 14 00 00 1 5658.988
2022 08 22 13 45 00 1 5658.992
2022 08 22 13 30 00 1 5658.994
2022 08 22 13 15 00 1 5658.998
2022 08 22 13 00 00 1 5658.997
2022 08 22 12 45 00 1 5658.996
2022 08 22 12 30 00 1 5658.994
2022 08 22 12 15 00 1 5658.986
2022 08 22 12 00 00 1 5658.978
2022 08 22 11 45 00 1 5658.967
2022 08 22 11 30 00 1 5658.952
2022 08 22 11 15 00 1 5658.940
2022 08 22 11 00 00 1 5658.927
2022 08 22 10 45 00 1 5658.909
2022 08 22 10 30 00 1 5658.886
2022 08 22 10 15 00 1 5658.864
2022 08 22 10 00 00 1 5658.836
2022 08 22 09 45 00 1 5658.811
2022 08 22 09 30 00 1 5658.794
2022 08 22 09 15 00 1 5658.767
2022 08 22 09 00 00 1 5658.742
2022 08 22 08 45 00 1 5658.721
2022 08 22 08 30 00 1 5658.699
2022 08 22 08 15 00 1 5658.671
2022 08 22 08 00 00 1 5658.651
2022 08 22 07 45 00 1 5658.629
2022 08 22 07 30 00 1 5658.608
2022 08 22 07 15 00 1 5658.587
2022 08 22 07 00 00 1 5658.567
2022 08 22 06 45 00 1 5658.549
2022 08 22 06 30 00 1 5658.536
2022 08 22 06 15 00 1 5658.524
2022 08 22 06 00 00 1 5658.511
2022 08 22 05 45 00 1 5658.504
2022 08 22 05 30 00 1 5658.498
2022 08 22 05 15 00 1 5658.498
2022 08 22 05 00 00 1 5658.501
2022 08 22 04 45 00 1 5658.508
2022 08 22 04 30 00 1 5658.517
2022 08 22 04 15 00 1 5658.529
