#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 09 21 08 55 00 2 5658.623
2022 09 21 08 54 00 2 5658.620
2022 09 21 08 53 00 2 5658.618
2022 09 21 08 52 00 2 5658.615
2022 09 21 08 51 00 2 5658.612
2022 09 21 08 50 00 2 5658.610
2022 09 21 08 49 00 2 5658.608
2022 09 21 08 48 00 2 5658.606
2022 09 21 08 47 00 2 5658.603
2022 09 21 08 46 00 2 5658.601
2022 09 21 08 45 00 2 5658.598
2022 09 21 08 45 00 1 9999.000
2022 09 21 08 44 00 2 5658.596
2022 09 21 08 43 00 2 5658.593
2022 09 21 08 42 00 2 5658.591
2022 09 21 08 41 00 2 5658.589
2022 09 21 08 40 00 2 5658.586
2022 09 21 08 39 00 2 5658.585
2022 09 21 08 38 00 2 5658.582
2022 09 21 08 37 00 2 5658.580
2022 09 21 08 36 00 2 5658.577
2022 09 21 08 35 00 2 5658.575
2022 09 21 08 34 00 2 5658.573
2022 09 21 08 33 00 2 5658.571
2022 09 21 08 32 00 2 5658.569
2022 09 21 08 31 00 2 5658.566
2022 09 21 08 30 00 2 5658.564
2022 09 21 08 30 00 1 9999.000
2022 09 21 08 29 00 2 5658.562
2022 09 21 08 28 00 2 5658.559
2022 09 21 08 27 00 2 5658.557
2022 09 21 08 26 00 2 5658.555
2022 09 21 08 25 00 2 5658.552
2022 09 21 08 24 00 2 5658.551
2022 09 21 08 23 00 2 5658.549
2022 09 21 08 22 00 2 5658.547
2022 09 21 08 21 00 2 5658.544
2022 09 21 08 20 00 2 5658.542
2022 09 21 08 19 00 2 5658.540
2022 09 21 08 18 00 2 5658.538
2022 09 21 08 17 00 2 5658.536
2022 09 21 08 16 00 2 5658.534
2022 09 21 08 15 00 2 5658.532
2022 09 21 08 15 00 1 9999.000
2022 09 21 08 14 00 2 5658.530
2022 09 21 08 13 00 2 5658.527
2022 09 21 08 12 00 2 5658.525
2022 09 21 08 11 00 2 5658.522
2022 09 21 08 10 00 2 5658.518
2022 09 21 08 09 00 2 5658.513
2022 09 21 08 08 00 2 5658.510
2022 09 21 08 07 00 2 5658.512
2022 09 21 08 06 00 2 5658.507
2022 09 21 08 05 00 2 5658.503
2022 09 21 08 04 00 2 5658.505
2022 09 21 08 03 00 2 5658.501
2022 09 21 08 02 00 2 5658.498
2022 09 21 08 01 00 2 5658.501
2022 09 21 08 00 00 2 5658.500
2022 09 21 08 00 00 1 9999.000
2022 09 21 07 59 00 2 5658.497
2022 09 21 07 58 00 2 5658.496
2022 09 21 07 57 00 2 5658.494
2022 09 21 07 56 00 2 5658.492
2022 09 21 07 55 00 2 5658.490
2022 09 21 07 54 00 2 5658.489
2022 09 21 07 53 00 2 5658.486
2022 09 21 07 52 00 2 5658.484
2022 09 21 07 51 00 2 5658.483
2022 09 21 07 50 00 2 5658.481
2022 09 21 07 49 00 2 5658.479
2022 09 21 07 48 00 2 5658.478
2022 09 21 07 47 00 2 5658.476
2022 09 21 07 46 00 2 5658.474
2022 09 21 07 45 00 2 5658.472
2022 09 21 07 45 00 1 9999.000
2022 09 21 07 44 00 2 5658.471
2022 09 21 07 43 00 2 5658.470
2022 09 21 07 42 00 2 5658.468
2022 09 21 07 41 00 2 5658.467
2022 09 21 07 40 00 2 5658.465
2022 09 21 07 39 00 2 5658.463
2022 09 21 07 38 00 2 5658.462
2022 09 21 07 37 00 2 5658.460
2022 09 21 07 36 00 2 5658.459
2022 09 21 07 35 00 2 5658.457
2022 09 21 07 34 00 2 5658.456
2022 09 21 07 33 00 2 5658.454
2022 09 21 07 32 00 2 5658.453
2022 09 21 07 31 00 2 5658.450
2022 09 21 07 30 00 2 5658.448
2022 09 21 07 30 00 1 9999.000
2022 09 21 07 29 00 2 5658.448
2022 09 21 07 28 00 2 5658.446
2022 09 21 07 27 00 2 5658.444
2022 09 21 07 26 00 2 5658.443
2022 09 21 07 25 00 2 5658.441
2022 09 21 07 24 00 2 5658.439
2022 09 21 07 23 00 2 5658.438
2022 09 21 07 22 00 2 5658.435
2022 09 21 07 21 00 2 5658.434
2022 09 21 07 20 00 2 5658.433
2022 09 21 07 19 00 2 5658.431
2022 09 21 07 18 00 2 5658.430
2022 09 21 07 17 00 2 5658.428
2022 09 21 07 16 00 2 5658.427
2022 09 21 07 15 00 2 5658.426
2022 09 21 07 15 00 1 9999.000
2022 09 21 07 14 00 2 5658.425
2022 09 21 07 13 00 2 5658.423
2022 09 21 07 12 00 2 5658.422
2022 09 21 07 11 00 2 5658.422
2022 09 21 07 10 00 2 5658.419
2022 09 21 07 09 00 2 5658.415
2022 09 21 07 08 00 2 5658.414
2022 09 21 07 07 00 2 5658.416
2022 09 21 07 06 00 2 5658.412
2022 09 21 07 05 00 2 5658.410
2022 09 21 07 04 00 2 5658.413
2022 09 21 07 03 00 2 5658.409
2022 09 21 07 02 00 2 5658.409
2022 09 21 07 01 00 2 5658.413
2022 09 21 07 00 00 2 5658.414
2022 09 21 07 00 00 1 9999.000
2022 09 21 06 59 00 2 5658.412
2022 09 21 06 58 00 2 5658.412
2022 09 21 06 57 00 2 5658.412
2022 09 21 06 56 00 2 5658.411
2022 09 21 06 55 00 2 5658.410
2022 09 21 06 54 00 2 5658.410
2022 09 21 06 53 00 2 5658.409
2022 09 21 06 52 00 2 5658.408
2022 09 21 06 51 00 2 5658.408
2022 09 21 06 50 00 2 5658.407
2022 09 21 06 49 00 2 5658.407
2022 09 21 06 48 00 2 5658.406
2022 09 21 06 47 00 2 5658.406
2022 09 21 06 46 00 2 5658.406
2022 09 21 06 45 00 2 5658.404
2022 09 21 06 45 00 1 9999.000
2022 09 21 06 44 00 2 5658.404
2022 09 21 06 43 00 2 5658.404
2022 09 21 06 42 00 2 5658.404
2022 09 21 06 41 00 2 5658.404
2022 09 21 06 40 00 2 5658.403
2022 09 21 06 39 00 2 5658.404
2022 09 21 06 38 00 2 5658.404
2022 09 21 06 37 00 2 5658.403
2022 09 21 06 36 00 2 5658.403
2022 09 21 06 35 00 2 5658.404
2022 09 21 06 34 00 2 5658.404
2022 09 21 06 33 00 2 5658.404
2022 09 21 06 32 00 2 5658.404
2022 09 21 06 31 00 2 5658.403
2022 09 21 06 30 00 2 5658.403
2022 09 21 06 30 00 1 9999.000
2022 09 21 06 29 00 2 5658.403
2022 09 21 06 28 00 2 5658.403
2022 09 21 06 27 00 2 5658.404
2022 09 21 06 26 00 2 5658.403
2022 09 21 06 25 00 2 5658.403
2022 09 21 06 24 00 2 5658.403
2022 09 21 06 23 00 2 5658.404
2022 09 21 06 22 00 2 5658.403
2022 09 21 06 21 00 2 5658.404
2022 09 21 06 20 00 2 5658.405
2022 09 21 06 19 00 2 5658.405
2022 09 21 06 18 00 2 5658.406
2022 09 21 06 17 00 2 5658.406
2022 09 21 06 16 00 2 5658.405
2022 09 21 06 15 00 2 5658.407
2022 09 21 06 15 00 1 9999.000
2022 09 21 06 14 00 2 5658.407
2022 09 21 06 13 00 2 5658.407
2022 09 21 06 12 00 2 5658.407
2022 09 21 06 11 00 2 5658.407
2022 09 21 06 10 00 2 5658.407
2022 09 21 06 09 00 2 5658.405
2022 09 21 06 08 00 2 5658.403
2022 09 21 06 07 00 2 5658.408
2022 09 21 06 06 00 2 5658.404
2022 09 21 06 05 00 2 5658.399
2022 09 21 06 04 00 2 5658.404
2022 09 21 06 03 00 2 5658.407
2022 09 21 06 02 00 2 5658.408
2022 09 21 06 01 00 2 5658.414
2022 09 21 06 00 00 2 5658.415
2022 09 21 06 00 00 1 9999.000
2022 09 21 05 59 00 2 5658.417
2022 09 21 05 58 00 2 5658.417
2022 09 21 05 57 00 2 5658.418
2022 09 21 05 56 00 2 5658.419
2022 09 21 05 55 00 2 5658.420
2022 09 21 05 54 00 2 5658.420
2022 09 21 05 53 00 2 5658.421
2022 09 21 05 52 00 2 5658.421
2022 09 21 05 51 00 2 5658.420
2022 09 21 05 50 00 2 5658.416
2022 09 21 05 49 00 2 5658.413
2022 09 21 05 48 00 2 5658.419
2022 09 21 05 47 00 2 5658.426
2022 09 21 05 46 00 2 5658.429
2022 09 21 05 45 00 2 5658.429
2022 09 21 05 45 00 1 9999.000
2022 09 21 05 44 00 2 5658.430
2022 09 21 05 43 00 2 5658.431
2022 09 21 05 42 00 2 5658.432
2022 09 21 05 41 00 2 5658.433
2022 09 21 05 40 00 2 5658.433
2022 09 21 05 39 00 2 5658.434
2022 09 21 05 38 00 2 5658.434
2022 09 21 05 37 00 2 5658.435
2022 09 21 05 36 00 2 5658.436
2022 09 21 05 35 00 2 5658.434
2022 09 21 05 34 00 2 5658.431
2022 09 21 05 33 00 2 5658.427
2022 09 21 05 32 00 2 5658.433
2022 09 21 05 31 00 2 5658.440
2022 09 21 05 30 00 2 5658.443
2022 09 21 05 30 00 1 9999.000
2022 09 21 05 29 00 2 5658.444
2022 09 21 05 28 00 2 5658.446
2022 09 21 05 27 00 2 5658.447
2022 09 21 05 26 00 2 5658.449
2022 09 21 05 25 00 2 5658.451
2022 09 21 05 24 00 2 5658.452
2022 09 21 05 23 00 2 5658.454
2022 09 21 05 22 00 2 5658.455
2022 09 21 05 21 00 2 5658.456
2022 09 21 05 20 00 2 5658.456
2022 09 21 05 19 00 2 5658.455
2022 09 21 05 18 00 2 5658.452
2022 09 21 05 17 00 2 5658.449
2022 09 21 05 16 00 2 5658.454
2022 09 21 05 15 00 2 5658.462
2022 09 21 05 15 00 1 9999.000
2022 09 21 05 14 00 2 5658.463
2022 09 21 05 13 00 2 5658.464
2022 09 21 05 12 00 2 5658.463
2022 09 21 05 11 00 2 5658.463
2022 09 21 05 10 00 2 5658.460
2022 09 21 05 09 00 2 5658.445
2022 09 21 05 08 00 2 5658.457
2022 09 21 05 07 00 2 5658.475
2022 09 21 05 06 00 2 5658.475
2022 09 21 05 05 00 2 5658.476
2022 09 21 05 04 00 2 5658.482
2022 09 21 05 03 00 2 5658.479
2022 09 21 05 02 00 2 5658.475
2022 09 21 05 01 00 2 5658.478
2022 09 21 05 00 00 2 5658.484
2022 09 21 05 00 00 1 9999.000
2022 09 21 04 59 00 2 5658.494
2022 09 21 04 58 00 2 5658.496
2022 09 21 04 57 00 2 5658.499
2022 09 21 04 56 00 2 5658.501
2022 09 21 04 55 00 2 5658.503
2022 09 21 04 54 00 2 5658.505
2022 09 21 04 53 00 2 5658.507
2022 09 21 04 52 00 2 5658.510
2022 09 21 04 51 00 2 5658.512
2022 09 21 04 50 00 2 5658.514
2022 09 21 04 49 00 2 5658.516
2022 09 21 04 48 00 2 5658.517
2022 09 21 04 47 00 2 5658.518
2022 09 21 04 46 00 2 5658.515
2022 09 21 04 45 00 2 5658.513
2022 09 21 04 45 00 1 9999.000
2022 09 21 04 44 00 2 5658.520
2022 09 21 04 43 00 2 5658.529
2022 09 21 04 42 00 2 5658.533
2022 09 21 04 41 00 2 5658.535
2022 09 21 04 40 00 2 5658.537
2022 09 21 04 39 00 2 5658.540
2022 09 21 04 38 00 2 5658.542
2022 09 21 04 37 00 2 5658.544
2022 09 21 04 36 00 2 5658.546
2022 09 21 04 35 00 2 5658.549
2022 09 21 04 34 00 2 5658.552
2022 09 21 04 33 00 2 5658.554
2022 09 21 04 32 00 2 5658.554
2022 09 21 04 31 00 2 5658.556
2022 09 21 04 30 00 2 5658.553
2022 09 21 04 30 00 1 9999.000
2022 09 21 04 29 00 2 5658.551
2022 09 21 04 28 00 2 5658.558
2022 09 21 04 27 00 2 5658.568
2022 09 21 04 26 00 2 5658.572
2022 09 21 04 25 00 2 5658.575
2022 09 21 04 24 00 2 5658.578
2022 09 21 04 23 00 2 5658.580
2022 09 21 04 22 00 2 5658.583
2022 09 21 04 21 00 2 5658.585
2022 09 21 04 20 00 2 5658.588
2022 09 21 04 19 00 2 5658.591
2022 09 21 04 18 00 2 5658.593
2022 09 21 04 17 00 2 5658.595
2022 09 21 04 16 00 2 5658.596
2022 09 21 04 15 00 2 5658.597
2022 09 21 04 15 00 1 9999.000
2022 09 21 04 14 00 2 5658.595
2022 09 21 04 13 00 2 5658.593
2022 09 21 04 12 00 2 5658.599
2022 09 21 04 11 00 2 5658.608
2022 09 21 04 10 00 2 5658.610
2022 09 21 04 09 00 2 5658.609
2022 09 21 04 08 00 2 5658.610
2022 09 21 04 07 00 2 5658.617
2022 09 21 04 06 00 2 5658.615
2022 09 21 04 05 00 2 5658.611
2022 09 21 04 04 00 2 5658.616
2022 09 21 04 03 00 2 5658.623
2022 09 21 04 02 00 2 5658.624
2022 09 21 04 01 00 2 5658.632
2022 09 21 04 00 00 2 5658.633
2022 09 21 04 00 00 1 9999.000
2022 09 21 03 59 00 2 5658.634
2022 09 21 03 58 00 2 5658.632
2022 09 21 03 57 00 2 5658.629
2022 09 21 03 56 00 2 5658.634
2022 09 21 03 55 00 2 5658.642
2022 09 21 03 54 00 2 5658.646
2022 09 21 03 53 00 2 5658.648
2022 09 21 03 52 00 2 5658.650
2022 09 21 03 51 00 2 5658.650
2022 09 21 03 50 00 2 5658.648
2022 09 21 03 49 00 2 5658.646
2022 09 21 03 48 00 2 5658.651
2022 09 21 03 47 00 2 5658.661
2022 09 21 03 46 00 2 5658.665
2022 09 21 03 45 00 2 5658.668
2022 09 21 03 45 00 1 9999.000
2022 09 21 03 44 00 2 5658.669
2022 09 21 03 43 00 2 5658.670
2022 09 21 03 42 00 2 5658.668
2022 09 21 03 41 00 2 5658.666
2022 09 21 03 40 00 2 5658.672
2022 09 21 03 39 00 2 5658.681
